img_url1,img_url2,prompt,num_questions,seed,question1,question2
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/an+oblong+potato+and+a+teardrop+mango/2.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/an+oblong+potato+and+a+teardrop+mango/2.png,an oblong potato and a teardrop mango,2,2,an oblong potato,a teardrop mango
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+circular+ceiling+light+and+a+triangular+bookshelf./2.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+circular+ceiling+light+and+a+triangular+bookshelf./2.png,a circular ceiling light and a triangular bookshelf.,2,2,a circular ceiling light,a triangular bookshelf
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+pentagonal+traffic+sign+and+a+pyramidal+paper+clip+holder/2.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+pentagonal+traffic+sign+and+a+pyramidal+paper+clip+holder/2.png,a pentagonal traffic sign and a pyramidal paper clip holder,2,2,a pentagonal traffic sign,a pyramidal paper clip holder
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+pentagonal+badge+and+a+pyramidal+award+statue/2.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+pentagonal+badge+and+a+pyramidal+award+statue/2.png,a pentagonal badge and a pyramidal award statue,2,2,a pentagonal badge,a pyramidal award statue
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+cubic+block+and+a+cylindrical+bottle/2.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+cubic+block+and+a+cylindrical+bottle/2.png,a cubic block and a cylindrical bottle,2,2,a cubic block,a cylindrical bottle
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/an+oblong+squash+and+a+teardrop+nectarine./3.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/an+oblong+squash+and+a+teardrop+nectarine./3.png,an oblong squash and a teardrop nectarine.,2,3,an oblong squash,a teardrop nectarine
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+big+gorilla+and+a+small+monkey/1.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+big+gorilla+and+a+small+monkey/1.png,a big gorilla and a small monkey,2,1,a big gorilla,a small monkey
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/an+oblong+eggplant+and+a+teardrop+melon/2.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/an+oblong+eggplant+and+a+teardrop+melon/2.png,an oblong eggplant and a teardrop melon,2,2,an oblong eggplant,a teardrop melon
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+pentagonal+road+sign+and+a+pyramidal+bookshelf/2.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+pentagonal+road+sign+and+a+pyramidal+bookshelf/2.png,a pentagonal road sign and a pyramidal bookshelf,2,2,a pentagonal road sign,a pyramidal bookshelf
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+diamond+bracelet+and+a+rectangular+watch/3.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+diamond+bracelet+and+a+rectangular+watch/3.png,a diamond bracelet and a rectangular watch,2,3,a diamond bracelet,a rectangular watch
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+cubic+block+and+a+cylindrical+jar+of+honey/3.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+cubic+block+and+a+cylindrical+jar+of+honey/3.png,a cubic block and a cylindrical jar of honey,3,3,a cubic block,a cylindrical jar,honey
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+rectangular+television+and+a+teardrop+remote+control/2.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+rectangular+television+and+a+teardrop+remote+control/2.png,a rectangular television and a teardrop remote control,2,2,a rectangular television,a teardrop remote control
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+pyramidal+bookend+and+a+conical+bookstand/1.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+pyramidal+bookend+and+a+conical+bookstand/1.png,a pyramidal bookend and a conical bookstand,2,1,a pyramidal bookend,a conical bookstand
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+round+bagel+and+a+square+piece+of+toast/3.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+round+bagel+and+a+square+piece+of+toast/3.png,a round bagel and a square piece of toast,3,3,a round bagel,a square piece,toast
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/a+cubic+book+and+a+cylindrical+can+of+soup/1.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/a+cubic+book+and+a+cylindrical+can+of+soup/1.png,a cubic book and a cylindrical can of soup,3,1,a cubic book,a cylindrical can,soup
https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_cp2_shape_T2ICompBench/an+oblong+squash+and+a+teardrop+plum/1.png,https://compbench-color.s3.us-east-2.amazonaws.com/outputs/outputs_lb_shape_T2ICompBench/an+oblong+squash+and+a+teardrop+plum/1.png,an oblong squash and a teardrop plum,2,1,an oblong squash,a teardrop plum
